Time,Activo,SPOT,absorption_score,exhaustion_score,failed_squeeze_flag,bullish_absorption,bearish_absorption,dealer_absorption
2026-06-21 20:10:45,NQ,30634.25,30.0,0.0,0,0,0,0
2026-06-21 20:11:45,NQ,30630.75,30.0,35.0,0,0,0,0
2026-06-21 20:12:45,NQ,30623.5,30.0,35.0,0,0,0,0
2026-06-21 20:13:45,NQ,30622.75,30.0,60.0,0,0,0,0
2026-06-21 20:14:45,NQ,30630.0,0.0,60.0,0,0,0,0
2026-06-21 20:15:45,NQ,30623.5,30.0,35.0,0,0,0,0
2026-06-21 20:16:45,NQ,30625.75,0.0,35.0,0,0,0,0
2026-06-21 20:17:45,NQ,30642.0,0.0,0.0,0,0,0,0
2026-06-21 20:18:45,NQ,30643.25,0.0,0.0,0,0,0,0
2026-06-21 20:19:45,NQ,30639.5,30.0,0.0,0,0,0,0
2026-06-21 20:20:45,NQ,30630.0,30.0,0.0,0,0,0,0
2026-06-21 20:21:45,NQ,30636.0,0.0,0.0,0,0,0,0
2026-06-21 20:22:45,NQ,30639.0,0.0,0.0,0,0,0,0
2026-06-21 20:23:45,NQ,30647.25,0.0,0.0,0,0,0,0
2026-06-21 20:24:45,NQ,30650.75,0.0,0.0,0,0,0,0
2026-06-21 20:25:45,NQ,30653.0,0.0,35.0,0,0,0,0
2026-06-21 20:26:45,NQ,30658.25,0.0,0.0,0,0,0,0
2026-06-21 20:27:45,NQ,30652.75,30.0,0.0,0,0,0,0
2026-06-21 20:28:45,NQ,30653.5,0.0,0.0,0,0,0,0
2026-06-21 20:29:45,NQ,30650.5,30.0,0.0,0,0,0,0
2026-06-21 20:30:45,NQ,30641.0,30.0,0.0,0,0,0,0
2026-06-21 20:31:45,NQ,30641.75,40.0,35.0,0,0,0,0
2026-06-21 20:32:45,NQ,30641.75,70.0,0.0,0,1,0,0
2026-06-21 20:33:45,NQ,30645.25,40.0,25.0,0,0,0,0
2026-06-21 20:34:45,NQ,30653.5,40.0,60.0,0,0,0,0
2026-06-21 20:35:45,NQ,30650.5,70.0,0.0,0,1,0,0
2026-06-21 20:36:45,NQ,30650.0,70.0,15.0,0,1,0,0
2026-06-21 20:37:45,NQ,30654.0,40.0,0.0,0,0,0,0
2026-06-21 20:38:45,NQ,30654.0,70.0,25.0,0,1,0,0
2026-06-21 20:39:45,NQ,30654.5,40.0,25.0,0,0,0,0
2026-06-21 20:40:45,NQ,30653.25,70.0,25.0,0,1,0,0
2026-06-21 20:41:45,NQ,30652.5,70.0,15.0,0,1,0,0
2026-06-21 20:42:45,NQ,30650.25,50.0,35.0,0,1,0,0
2026-06-21 20:43:45,NQ,30644.75,50.0,15.0,0,1,0,0
2026-06-21 20:44:45,NQ,30648.0,20.0,15.0,0,0,0,0
2026-06-21 20:45:45,NQ,30644.75,50.0,0.0,0,1,0,0
2026-06-21 20:46:45,NQ,30622.75,30.0,15.0,0,0,0,0
2026-06-21 20:47:45,NQ,30616.5,30.0,0.0,0,0,0,0
2026-06-21 20:48:45,NQ,30623.75,0.0,0.0,0,0,0,0
2026-06-21 20:49:45,NQ,30623.5,30.0,0.0,0,0,0,0
2026-06-21 20:50:45,NQ,30633.5,0.0,0.0,0,0,0,0
2026-06-21 20:51:45,NQ,30640.25,0.0,0.0,0,0,0,0
2026-06-21 20:52:45,NQ,30623.75,30.0,35.0,0,0,0,0
